FY,Month Grouping,Month (abbv),Region,Field Office,State,Port of Entry,Mode of Transportation,Measure Name,Category,Count
2022,Remaining,SEP,Southern Border,TUCSON,AZ,"DOUGLAS, AZ (2601)",Land,Travelers,Pedestrians,61882
2023,Remaining,JAN,Northern Border,SEATTLE,MN,"WARROAD, MN (3423)",Land,Conveyances,Passenger Vehicles,4677
2024,Remaining,SEP,Coastal/Interior,LOS ANGELES,CA,"UPS - (ONTARIO, CA) (2795)",Air,Travelers,Air,59
2024,FYTD,NOV,Northern Border,BOSTON,VT,"BEECHER FALLS, VT (0206)",Land,Travelers,Trucks,700
2022,FYTD,OCT,Northern Border,SEATTLE,ND,"SHERWOOD, ND (3414)",Land,Travelers,Trucks,312
2023,Remaining,JAN,Coastal/Interior,NEW YORK,NJ,NEW YORK/NEWARK AREA (4601),Air,Travelers,Air,474804
2023,FYTD,NOV,Coastal/Interior,NEW ORLEANS,AR,ROGERS MUNICIPAL AIRPORT (2084),Air,Conveyances,Air,14
2023,Remaining,APR,Northern Border,SEATTLE,MN,"LANCASTER, MN (3430)",Land,Travelers,Pedestrians,39
2022,FYTD,NOV,Northern Border,BOSTON,ME,"EASTPORT, ME (0103)",Land,Travelers,Pedestrians,33
2024,Remaining,MAR,Northern Border,SEATTLE,ID,"PORTHILL, ID (3308)",Land,Conveyances,Trucks,120
2024,Remaining,JUL,Coastal/Interior,LOS ANGELES,CA,LOS ANGELES INT ARPT (2720),Air,Travelers,Air,1131983
2023,FYTD,DEC,Northern Border,PORTLAND,CO,EAGLE COUNTY REGNL AIRPT (3385),Air,Travelers,Air,642
2025 (FYTD),FYTD,DEC,Northern Border,SEATTLE,MN,"LANCASTER, MN (3430)",Land,Travelers,Trucks,287
2022,Remaining,JAN,Preclearance,PRECLEARANCE,DC,USCBP OTTAWA PRECLEAR (7929),Air,Conveyances,Air,56
2025 (FYTD),FYTD,DEC,Southern Border,TUCSON,AZ,"SAN LUIS, AZ (2608)",Air,Travelers,Air,130
2023,Remaining,SEP,Coastal/Interior,NEW ORLEANS,AL,"HUNTSVILLE, AL (1910)",Air,Travelers,Air,14
2024,Remaining,MAR,Coastal/Interior,CHICAGO,MO,"ST LOUIS, MO (4503)",Air,Travelers,Air,23331
2024,FYTD,OCT,Northern Border,SEATTLE,MT,"PIEGAN, MT (3316)",Land,Travelers,Pedestrians,435
2024,Remaining,APR,Southern Border,TUCSON,AZ,"NOGALES, AZ (2604)",Land,Travelers,Trucks,43411
2022,FYTD,OCT,Southern Border,EL PASO,TX,"TORNILLO,TX (2404)",Land,Conveyances,Passenger Vehicles,26985
2025 (FYTD),FYTD,OCT,Northern Border,SEATTLE,ND,HECTOR INTERNATIONAL AIRPORT (3411),Air,Conveyances,Air,89
2023,Remaining,JUL,Northern Border,SEATTLE,WA,"SUMAS, WA (3009)",Land,Travelers,Passenger Vehicles,118432
2024,FYTD,NOV,Northern Border,SEATTLE,ND,"PORTAL, ND (3403)",Land,Travelers,Passenger Vehicles,9452
2022,Remaining,APR,Southern Border,EL PASO,NM,SANTA TERESA (2408),Land,Conveyances,Passenger Vehicles,57419
2025 (FYTD),FYTD,OCT,Northern Border,PORTLAND,AK,"ALCAN, AK (3104)",Land,Conveyances,Passenger Vehicles,1986
2022,Remaining,JAN,Coastal/Interior,CHICAGO,IL,"PEORIA, IL (3902)",Air,Travelers,Air,28
2024,FYTD,NOV,Northern Border,PORTLAND,AK,"ANCHORAGE, AK (3126)",Air,Conveyances,Air,2228
2022,FYTD,NOV,Northern Border,BOSTON,MA,"LOGAN AIRPORT, MA (0417)",Air,Travelers,Air,104251
2023,Remaining,MAY,Northern Border,SEATTLE,MT,"SWEETGRASS, MT (3310)",Land,Travelers,Pedestrians,1185
2023,Remaining,MAR,Coastal/Interior,TAMPA,FL,"JACKSONVILLE, FL (1803)",Air,Travelers,Air,1429
2025 (FYTD),FYTD,OCT,Northern Border,PORTLAND,OR,HILLSBORO AIRPORT (2983),Air,Travelers,Air,7
2024,Remaining,SEP,Coastal/Interior,BALTIMORE,DE,"WILMINGTON, DE (1103)",Air,Conveyances,Air,26
2024,Remaining,AUG,Coastal/Interior,LOS ANGELES,CA,SAN BERNARDINO U.F. ARPT (2782),Air,Travelers,Air,98
2024,Remaining,SEP,Northern Border,SEATTLE,WA,METALINE FALLS (3025),Land,Travelers,Trucks,452
2024,Remaining,JUN,Northern Border,BOSTON,ME,"BAR HARBOR, ME (0112)",Land,Travelers,Passenger Vehicles,2915
2022,FYTD,NOV,Northern Border,BOSTON,ME,"CALAIS, ME (0115)",Land,Conveyances,Passenger Vehicles,8418
2024,Remaining,JUN,Northern Border,SEATTLE,MT,"SWEETGRASS, MT (3310)",Land,Travelers,Trucks,16118
2024,Remaining,JAN,Southern Border,TUCSON,AZ,"SAN LUIS, AZ (2608)",Land,Conveyances,Trucks,3862
2024,Remaining,APR,Southern Border,EL PASO,TX,"PRESIDIO, TX (2403)",Land,Conveyances,Trucks,978
2023,Remaining,JUL,Southern Border,EL PASO,TX,"EL PASO, TX (2402)",Land,Travelers,Trucks,9992
2022,Remaining,MAR,Coastal/Interior,HOUSTON,TX,"CORPUS CHRISTI, TX (5312)",Air,Conveyances,Air,13
2023,FYTD,DEC,Northern Border,SEATTLE,ND,"ST JOHN, ND (3405)",Land,Travelers,Trucks,48
2024,Remaining,JUL,Coastal/Interior,CHICAGO,IL,"PEORIA, IL (3902)",Air,Conveyances,Air,7
2025 (FYTD),FYTD,NOV,Northern Border,SEATTLE,ND,"PORTAL, ND (3403)",Land,Travelers,Pedestrians,955
2022,Remaining,FEB,Northern Border,SEATTLE,MT,"DEL BONITA, MT (3322)",Land,Conveyances,Trucks,1922
2024,Remaining,MAR,Coastal/Interior,NEW ORLEANS,TN,"MEMPHIS, TN (2006)",Air,Travelers,Air,1803
2023,Remaining,JAN,Coastal/Interior,NEW ORLEANS,TN,"MEMPHIS, TN (2006)",Air,Travelers,Air,1587
2022,Remaining,JUL,Northern Border,SEATTLE,WA,"SUMAS, WA (3009)",Land,Travelers,Pedestrians,3591
2024,Remaining,FEB,Coastal/Interior,CHICAGO,MO,SPIRIT OF ST. LOUIS AIRP (4506),Air,Conveyances,Air,26
2023,Remaining,JUL,Coastal/Interior,SAN JUAN,VI,ST. THOMAS (PRE-INSPECTION) (7401),Air,Conveyances,Air,739
2023,Remaining,JAN,Northern Border,SEATTLE,WA,"SUMAS, WA (3009)",Land,Travelers,Trucks,12286
2022,Remaining,FEB,Northern Border,SEATTLE,ND,"PEMBINA, ND (3401)",Land,Travelers,Passenger Vehicles,5126
2025 (FYTD),FYTD,OCT,Northern Border,SEATTLE,ND,"HANSBORO, ND (3415)",Land,Conveyances,Trucks,37
2024,FYTD,OCT,Northern Border,SEATTLE,ND,"PEMBINA, ND (3401)",Air,Travelers,Air,4
2022,Remaining,SEP,Coastal/Interior,CHICAGO,NE,"OMAHA, NE (3512)",Air,Conveyances,Air,21
2024,FYTD,OCT,Northern Border,SEATTLE,MN,"INTERNATIONAL FALLS, MN (3604)",Air,Travelers,Air,84
2022,Remaining,JUL,Southern Border,TUCSON,AZ,"SAN LUIS, AZ (2608)",Land,Travelers,Trucks,3315
2025 (FYTD),FYTD,OCT,Coastal/Interior,SAN FRANCISCO,CA,SAN JOSE INTL AIRPORT (2834),Air,Travelers,Air,25786
2025 (FYTD),FYTD,OCT,Northern Border,SEATTLE,MT,"PIEGAN, MT (3316)",Land,Travelers,Passenger Vehicles,14329
2022,Remaining,FEB,Northern Border,BOSTON,VT,"NORTON, VT (0211)",Land,Conveyances,Passenger Vehicles,170
2023,FYTD,NOV,Northern Border,BOSTON,ME,"EASTPORT, ME (0103)",Land,Travelers,Passenger Vehicles,10271
2023,Remaining,SEP,Northern Border,SEATTLE,WA,"TACOMA, WA (3002)",Air,Travelers,Air,40
2025 (FYTD),FYTD,NOV,Southern Border,EL PASO,TX,YSLETA (2401),Land,Travelers,Passenger Vehicles,528779
2023,Remaining,JAN,Northern Border,SEATTLE,MN,"BAUDETTE, MN (3424)",Air,Conveyances,Air,1
2022,Remaining,FEB,Coastal/Interior,NEW YORK,NJ,"MORRISTOWN AIRPORT, NJ (4681)",Air,Travelers,Air,155
2023,Remaining,JAN,Southern Border,EL PASO,TX,"TORNILLO,TX (2404)",Land,Travelers,Passenger Vehicles,59656
2024,Remaining,MAR,Coastal/Interior,NEW YORK,NJ,NEW YORK/NEWARK AREA (4601),Air,Travelers,Air,563796
2022,Remaining,AUG,Coastal/Interior,NEW ORLEANS,AL,"BIRMINGHAM, AL (1904)",Air,Conveyances,Air,19
2024,Remaining,MAR,Coastal/Interior,CHICAGO,OH,"CINCINNATI, OH (4102)",Air,Conveyances,Air,87
2024,FYTD,NOV,Northern Border,SEATTLE,WA,KENNETH G WARD POE (3023),Land,Travelers,Pedestrians,1746
2022,FYTD,NOV,Coastal/Interior,ATLANTA,SC,GREER (1608),Air,Travelers,Air,349
2023,Remaining,MAR,Southern Border,LAREDO,TX,"PROGRESO, TX (2309)",Air,Travelers,Air,52
2024,Remaining,MAR,Northern Border,SEATTLE,ND,"DUNSEITH, ND (3422)",Land,Conveyances,Trucks,2135
2023,Remaining,MAR,Northern Border,SEATTLE,WA,"POINT ROBERTS, WA (3017)",Land,Travelers,Pedestrians,632
2022,Remaining,SEP,Coastal/Interior,NEW ORLEANS,LA,"MORGAN CITY, LA (2001)",Air,Travelers,Air,2
2024,Remaining,SEP,Northern Border,SEATTLE,ND,"CARBURY, ND (3421)",Land,Travelers,Trucks,133
2024,FYTD,NOV,Coastal/Interior,ATLANTA,GA,"ATLANTA, GA (1704)",Air,Conveyances,Air,2533
2023,Remaining,AUG,Northern Border,BUFFALO,NY,"TROUT RIVER, NY (0715)",Land,Conveyances,Trucks,865
2022,Remaining,SEP,Northern Border,SEATTLE,MT,"PIEGAN, MT (3316)",Land,Travelers,Passenger Vehicles,16892
2025 (FYTD),FYTD,DEC,Northern Border,SEATTLE,WA,SEATTLE-TACOMA INTL ARPT (3029),Air,Travelers,Air,224876
2022,Remaining,SEP,Coastal/Interior,TAMPA,FL,"ST. PETERSBURG, FL (1814)",Air,Travelers,Air,544
2023,Remaining,JUL,Coastal/Interior,CHICAGO,OH,"TOLEDO, OH (4105)",Air,Conveyances,Air,114
2022,Remaining,AUG,Northern Border,SEATTLE,ND,"PEMBINA, ND (3401)",Land,Conveyances,Passenger Vehicles,20972
2023,Remaining,MAY,Southern Border,TUCSON,AZ,"DOUGLAS, AZ (2601)",Land,Travelers,Passenger Vehicles,265913
2025 (FYTD),FYTD,NOV,Northern Border,BOSTON,ME,"LIMESTONE, ME (0118)",Land,Travelers,Pedestrians,10
2022,FYTD,DEC,Northern Border,BOSTON,VT,"RICHFORD, VT (0203)",Land,Conveyances,Trucks,329
2023,FYTD,NOV,Northern Border,SEATTLE,WA,"SUMAS, WA (3009)",Land,Conveyances,Passenger Vehicles,33325
2022,Remaining,FEB,Coastal/Interior,LOS ANGELES,CA,JOHN WAYNE AIRPORT (2787),Air,Conveyances,Air,56
2025 (FYTD),FYTD,OCT,Northern Border,SEATTLE,MT,"SWEETGRASS, MT (3310)",Land,Travelers,Passenger Vehicles,37030
2024,Remaining,MAR,Southern Border,EL PASO,TX,"PRESIDIO, TX (2403)",Land,Conveyances,Passenger Vehicles,64894
2024,FYTD,OCT,Northern Border,SEATTLE,MT,"SWEETGRASS, MT (3310)",Land,Travelers,Pedestrians,2080
2023,Remaining,MAY,Coastal/Interior,CHICAGO,IL,ROCKFORD AIRPORT (3909),Air,Conveyances,Air,13
2022,FYTD,DEC,Northern Border,SEATTLE,ND,MINOT AIRPORT (3434),Air,Travelers,Air,86
2023,Remaining,MAR,Southern Border,TUCSON,AZ,"NACO, AZ (2603)",Land,Travelers,Passenger Vehicles,49467
2024,Remaining,MAR,Southern Border,TUCSON,AZ,"NOGALES, AZ (2604)",Land,Travelers,Passenger Vehicles,651411
2022,Remaining,JUL,Northern Border,BUFFALO,NY,"CAPE VINCENT, NY (0706)",Land,Travelers,Passenger Vehicles,607
2023,Remaining,SEP,Coastal/Interior,MIAMI,FL,MARATHON INTL ARPT (5281),Air,Conveyances,Air,9
2022,FYTD,DEC,Northern Border,PORTLAND,AK,"ALCAN, AK (3104)",Land,Travelers,Passenger Vehicles,827
2022,Remaining,SEP,Preclearance,PRECLEARANCE,DC,USCBP OTTAWA PRECLEAR (7929),Air,Travelers,Air,8110
2022,Remaining,MAR,Southern Border,TUCSON,AZ,"NACO, AZ (2603)",Land,Travelers,Pedestrians,8408
2024,FYTD,DEC,Coastal/Interior,LOS ANGELES,CA,"UPS - (ONTARIO, CA) (2795)",Air,Travelers,Air,50
2022,Remaining,MAR,Southern Border,EL PASO,NM,SANTA TERESA (2408),Land,Conveyances,Trucks,13730
2022,Remaining,JUN,Northern Border,SEATTLE,ND,"CARBURY, ND (3421)",Land,Travelers,Passenger Vehicles,529
2024,Remaining,MAY,Northern Border,BOSTON,VT,"NORTON, VT (0211)",Land,Travelers,Passenger Vehicles,2243
2022,Remaining,SEP,Northern Border,SEATTLE,MT,"SWEETGRASS, MT (3310)",Land,Travelers,Passenger Vehicles,24633
2022,Remaining,APR,Preclearance,PRECLEARANCE,DC,USCBP TORONTO PRECLEAR (7926),Air,Travelers,Air,369117
2024,FYTD,OCT,Preclearance,PRECLEARANCE,DC,USCBP TORONTO PRECLEAR (7926),Air,Conveyances,Air,5983
2024,Remaining,JAN,Northern Border,BOSTON,ME,"EASTPORT, ME (0103)",Land,Travelers,Passenger Vehicles,10631
2024,Remaining,APR,Coastal/Interior,NEW ORLEANS,AL,"BIRMINGHAM, AL (1904)",Air,Travelers,Air,167
2023,FYTD,NOV,Northern Border,SEATTLE,ND,GRAND FORKS AIRPORT (3427),Air,Conveyances,Air,13
2022,Remaining,MAR,Northern Border,BOSTON,ME,"MADAWASKA, ME (0109)",Air,Conveyances,Air,1
2023,FYTD,OCT,Coastal/Interior,HOUSTON,TX,"SAN ANTONIO,TX(INACTIVE) (2308)",Air,Travelers,Air,1430
2023,Remaining,MAY,Northern Border,SEATTLE,MT,"PIEGAN, MT (3316)",Land,Travelers,Pedestrians,374
2023,FYTD,NOV,Southern Border,SAN DIEGO,CA,OTAY MESA (2506),Land,Conveyances,Passenger Vehicles,478410
2022,Remaining,AUG,Northern Border,BOSTON,VT,"NORTON, VT (0211)",Land,Travelers,Passenger Vehicles,3349
2022,Remaining,AUG,Northern Border,SEATTLE,WA,"NIGHTHAWK, WA (3011)",Land,Travelers,Pedestrians,9
2024,FYTD,NOV,Northern Border,DETROIT,MI,"PORT HURON, MI (3802)",Land,Conveyances,Trucks,66468
2024,Remaining,MAY,Northern Border,SEATTLE,MT,"DEL BONITA, MT (3322)",Land,Travelers,Trucks,184
2024,FYTD,NOV,Northern Border,BOSTON,ME,"LIMESTONE, ME (0118)",Land,Travelers,Passenger Vehicles,1399
2024,Remaining,JUL,Northern Border,SEATTLE,ID,"EASTPORT, ID (3302)",Land,Travelers,Trucks,5729
2025 (FYTD),FYTD,OCT,Southern Border,LAREDO,TX,"DEL RIO, TX (2302)",Land,Travelers,Trucks,6702
2023,Remaining,JUL,Coastal/Interior,ATLANTA,SC,"COLUMBIA, SC (1604)",Air,Conveyances,Air,9
2023,Remaining,AUG,Northern Border,BUFFALO,NY,BUFFALO-NIAGARA FALLS NY (0901),Land,Travelers,Trucks,79892
2022,FYTD,DEC,Coastal/Interior,NEW ORLEANS,AL,"HUNTSVILLE, AL (1910)",Air,Travelers,Air,2
2024,Remaining,JAN,Coastal/Interior,LOS ANGELES,CA,"UPS - (ONTARIO, CA) (2795)",Air,Conveyances,Air,21
2024,Remaining,MAR,Preclearance,PRECLEARANCE,DC,USCBP TORONTO PRECLEAR (7926),Air,Conveyances,Air,6320
2022,FYTD,OCT,Northern Border,SEATTLE,WA,"SPOKANE, WA (3022)",Air,Conveyances,Air,35
2022,Remaining,AUG,Northern Border,SEATTLE,MT,"DEL BONITA, MT (3322)",Land,Travelers,Trucks,61
2022,FYTD,OCT,Southern Border,SAN DIEGO,CA,"ANDRADE, CA (2502)",Land,Travelers,Pedestrians,45699
2022,Remaining,JUL,Northern Border,BOSTON,ME,"EASTPORT, ME (0103)",Land,Conveyances,Passenger Vehicles,11414
2022,Remaining,JAN,Northern Border,SEATTLE,ID,"EASTPORT, ID (3302)",Land,Conveyances,Trucks,4262
2022,Remaining,JUN,Northern Border,SEATTLE,WA,METALINE FALLS (3025),Land,Travelers,Passenger Vehicles,2093
2023,FYTD,DEC,Coastal/Interior,ATLANTA,NC,"DURHAM, NC (1503)",Air,Conveyances,Air,95
2023,Remaining,MAY,Coastal/Interior,CHICAGO,NE,"OMAHA, NE (3512)",Air,Conveyances,Air,43
2023,Remaining,AUG,Northern Border,SEATTLE,WA,"FRIDAY HARBOR, WA (3014)",Air,Travelers,Air,32
2023,FYTD,DEC,Northern Border,BOSTON,ME,"BANGOR, ME (0102)",Air,Conveyances,Air,163
2023,FYTD,NOV,Northern Border,BUFFALO,NY,"SYRACUSE, NY (0906)",Air,Travelers,Air,21
2025 (FYTD),FYTD,NOV,Northern Border,SEATTLE,MN,"INTERNATIONAL FALLS, MN (3604)",Land,Conveyances,Passenger Vehicles,16584
2023,Remaining,JUN,Coastal/Interior,ATLANTA,GA,"SAVANNAH, GA (1703)",Air,Travelers,Air,479
2022,Remaining,MAR,Northern Border,SEATTLE,WA,"SEATTLE, WA (3001)",Air,Conveyances,Air,126
2022,Remaining,JUL,Southern Border,SAN DIEGO,CA,"CALEXICO, CA (2503)",Land,Travelers,Pedestrians,211835
2023,FYTD,NOV,Northern Border,SEATTLE,ND,"SARLES, ND (3409)",Land,Conveyances,Passenger Vehicles,93
2023,Remaining,JUL,Coastal/Interior,TAMPA,FL,ORLANDO EXECUTIVE AIRPT (1888),Air,Travelers,Air,446
2025 (FYTD),FYTD,DEC,Coastal/Interior,ATLANTA,NC,"WILMINGTON, NC (1501)",Air,Travelers,Air,772
2024,FYTD,NOV,Northern Border,SEATTLE,WA,"NIGHTHAWK, WA (3011)",Land,Conveyances,Passenger Vehicles,181
2024,Remaining,MAY,Northern Border,SEATTLE,ND,"PEMBINA, ND (3401)",Land,Conveyances,Passenger Vehicles,20504
2023,Remaining,FEB,Northern Border,BUFFALO,NY,"TROUT RIVER, NY (0715)",Land,Travelers,Trucks,664
2023,Remaining,JUN,Northern Border,SEATTLE,MT,"DEL BONITA, MT (3322)",Land,Travelers,Pedestrians,50
2022,Remaining,APR,Coastal/Interior,ATLANTA,VA,"NORFOLK, VA (1401)",Air,Conveyances,Air,64
2022,FYTD,NOV,Southern Border,TUCSON,AZ,"NOGALES, AZ (2604)",Land,Travelers,Trucks,29140
2024,Remaining,MAY,Northern Border,SEATTLE,WA,"NIGHTHAWK, WA (3011)",Land,Travelers,Pedestrians,51
2024,Remaining,APR,Northern Border,SEATTLE,ND,"DUNSEITH, ND (3422)",Land,Conveyances,Passenger Vehicles,3187
2023,Remaining,FEB,Coastal/Interior,SAN FRANCISCO,HI,"KAHULUI, HI (3203)",Air,Conveyances,Air,5
2022,Remaining,SEP,Northern Border,PORTLAND,AK,"KETCHIKAN, AK (3102)",Land,Conveyances,Passenger Vehicles,53
2024,FYTD,OCT,Northern Border,DETROIT,MI,"BATTLE CREEK, MI (3805)",Air,Travelers,Air,9
2024,Remaining,APR,Northern Border,SEATTLE,ID,"PORTHILL, ID (3308)",Land,Conveyances,Passenger Vehicles,7369
2022,Remaining,SEP,Coastal/Interior,CHICAGO,WI,"GREEN BAY, WI (3703)",Air,Travelers,Air,70
2024,Remaining,JUN,Northern Border,SEATTLE,MT,"PIEGAN, MT (3316)",Land,Travelers,Trucks,136
2025 (FYTD),FYTD,OCT,Coastal/Interior,CHICAGO,WI,APPLETON INTL ARPT (3781),Air,Conveyances,Air,10
2023,Remaining,MAY,Coastal/Interior,ATLANTA,SC,"CHARLESTON, SC (1601)",Air,Travelers,Air,413
2025 (FYTD),FYTD,NOV,Southern Border,TUCSON,AZ,WILLIAMS GATEWAY AIRPORT (2682),Air,Travelers,Air,60
2023,Remaining,JUL,Northern Border,BOSTON,MA,HANSCOM USER FEE AIRPORT (0481),Air,Travelers,Air,997
2022,Remaining,SEP,Northern Border,BUFFALO,NY,"CAPE VINCENT, NY (0706)",Land,Conveyances,Passenger Vehicles,632
2022,Remaining,JUL,Northern Border,BOSTON,VT,HIGHGATE SPRINGS/ALBURG (0212),Land,Conveyances,Passenger Vehicles,46582
2022,FYTD,NOV,Northern Border,SEATTLE,MT,"PIEGAN, MT (3316)",Land,Travelers,Pedestrians,39
2023,Remaining,MAY,Southern Border,TUCSON,AZ,WILLIAMS GATEWAY AIRPORT (2682),Air,Conveyances,Air,3
2022,Remaining,FEB,Northern Border,SEATTLE,WA,"ANACORTES, WA (3010)",Air,Travelers,Air,20
2022,Remaining,MAY,Northern Border,PORTLAND,AK,"SKAGWAY, AK (3103)",Land,Travelers,Passenger Vehicles,9052
2025 (FYTD),FYTD,DEC,Coastal/Interior,SAN JUAN,VI,"CHARLOTTE AMALIE, VI (5101)",Air,Travelers,Air,1606
2024,Remaining,AUG,Northern Border,PORTLAND,AK,"SKAGWAY, AK (3103)",Land,Travelers,Passenger Vehicles,19241
2025 (FYTD),FYTD,OCT,Northern Border,BOSTON,ME,"EASTPORT, ME (0103)",Land,Travelers,Passenger Vehicles,17823
2022,Remaining,AUG,Coastal/Interior,LOS ANGELES,CA,SAN BERNARDINO U.F. ARPT (2782),Air,Conveyances,Air,5
2024,Remaining,JAN,Northern Border,SEATTLE,MT,"SWEETGRASS, MT (3310)",Land,Travelers,Passenger Vehicles,20955
2025 (FYTD),FYTD,NOV,Northern Border,BOSTON,VT,HIGHGATE SPRINGS/ALBURG (0212),Land,Conveyances,Trucks,7427
2024,FYTD,NOV,Southern Border,EL PASO,TX,"TORNILLO,TX (2404)",Land,Conveyances,Passenger Vehicles,45393
2022,Remaining,MAY,Northern Border,BUFFALO,NY,"OGDENSBURG, NY (0701)",Air,Conveyances,Air,2
2022,Remaining,APR,Northern Border,SEATTLE,WA,"EVERETT, WA (3006)",Air,Travelers,Air,198
2022,FYTD,DEC,Northern Border,SEATTLE,WA,"SUMAS, WA (3009)",Land,Travelers,Passenger Vehicles,17876
2023,Remaining,FEB,Northern Border,SEATTLE,WA,KENNETH G WARD POE (3023),Land,Travelers,Pedestrians,1362
2025 (FYTD),FYTD,NOV,Coastal/Interior,BALTIMORE,DC,"WASHINGTON, DC (5401)",Air,Conveyances,Air,1971
2022,Remaining,APR,Northern Border,SEATTLE,WA,"PORT ANGELES, WA (3007)",Land,Travelers,Trucks,36
2022,Remaining,JAN,Coastal/Interior,MIAMI,FL,"MIAMI, FL (5201)",Air,Travelers,Air,1
2023,FYTD,OCT,Northern Border,SEATTLE,ND,"PORTAL, ND (3403)",Land,Travelers,Pedestrians,735
2022,FYTD,DEC,Southern Border,LAREDO,TX,"RIO GRANDE CITY, TX (2307)",Land,Conveyances,Passenger Vehicles,36778
2024,Remaining,FEB,Coastal/Interior,BALTIMORE,DC,"WASHINGTON, DC (5401)",Air,Travelers,Air,261717
2022,FYTD,OCT,Northern Border,SEATTLE,ND,"PORTAL, ND (3403)",Land,Travelers,Passenger Vehicles,4161
2025 (FYTD),FYTD,DEC,Preclearance,PRECLEARANCE,DC,USCBP CALGARY PRECLEAR (7923),Air,Travelers,Air,149675
2023,FYTD,NOV,Northern Border,SEATTLE,ND,"HANSBORO, ND (3415)",Land,Conveyances,Trucks,15
2023,Remaining,JUN,Northern Border,SEATTLE,MN,"WARROAD, MN (3423)",Land,Conveyances,Trucks,326
2022,Remaining,JAN,Coastal/Interior,ATLANTA,GA,SOUTH ATLANTIC CMC (1700),Air,Conveyances,Air,13
2023,Remaining,MAR,Northern Border,SEATTLE,MT,"RAYMOND, MT (3301)",Land,Conveyances,Passenger Vehicles,1171
2022,Remaining,APR,Northern Border,DETROIT,MI,"PORT HURON, MI (3802)",Land,Conveyances,Trucks,74490
2024,Remaining,MAR,Northern Border,SEATTLE,MT,"WILDHORSE, MT (3323)",Land,Travelers,Pedestrians,19
2023,FYTD,NOV,Northern Border,SEATTLE,MT,"PIEGAN, MT (3316)",Land,Travelers,Passenger Vehicles,3652
2024,Remaining,SEP,Coastal/Interior,CHICAGO,WI,APPLETON INTL ARPT (3781),Air,Conveyances,Air,13
2024,Remaining,FEB,Northern Border,SEATTLE,MT,"OPHEIM, MT (3317)",Land,Conveyances,Passenger Vehicles,111
2022,Remaining,AUG,Southern Border,EL PASO,TX,"TORNILLO,TX (2404)",Land,Travelers,Pedestrians,3344
2023,Remaining,SEP,Coastal/Interior,ATLANTA,SC,"COLUMBIA, SC (1604)",Air,Travelers,Air,48
2024,FYTD,OCT,Northern Border,BOSTON,MA,"LOGAN AIRPORT, MA (0417)",Air,Travelers,Air,313947
2024,FYTD,NOV,Northern Border,SEATTLE,ND,"SHERWOOD, ND (3414)",Land,Travelers,Trucks,323
2022,Remaining,JUL,Coastal/Interior,LOS ANGELES,CA,LOS ANGELES INT ARPT (2720),Air,Conveyances,Air,4683
2023,Remaining,JUL,Coastal/Interior,HOUSTON,TX,FORT WORTH ALLIANCE  AP (5583),Air,Conveyances,Air,12
2025 (FYTD),FYTD,DEC,Northern Border,DETROIT,MI,"SAULT STE. MARIE, MI (3803)",Land,Conveyances,Trucks,2212
2024,Remaining,JAN,Preclearance,PRECLEARANCE,DC,USCBP OTTAWA PRECLEAR (7929),Air,Travelers,Air,35218
2024,Remaining,SEP,Northern Border,SEATTLE,ID,"EASTPORT, ID (3302)",Land,Conveyances,Trucks,4747
2024,FYTD,DEC,Northern Border,SEATTLE,MT,"KALISPELL, MT (3324)",Air,Travelers,Air,85
2022,Remaining,SEP,Northern Border,BOSTON,ME,"EASTPORT, ME (0103)",Land,Travelers,Passenger Vehicles,16205
2023,FYTD,OCT,Coastal/Interior,HOUSTON,TX,"CORPUS CHRISTI, TX (5312)",Air,Conveyances,Air,4
2022,Remaining,APR,Southern Border,EL PASO,NM,"ALBUQUERQUE, NM (2407)",Air,Travelers,Air,77
2023,Remaining,JAN,Northern Border,BOSTON,VT,HIGHGATE SPRINGS/ALBURG (0212),Land,Conveyances,Trucks,7983
2024,Remaining,JAN,Coastal/Interior,CHICAGO,WI,"GREEN BAY, WI (3703)",Air,Travelers,Air,59
2024,Remaining,JUL,Coastal/Interior,CHICAGO,KY,BLUE GRASS AIRPORT (4184),Air,Conveyances,Air,12
2024,Remaining,MAR,Northern Border,BOSTON,VT,HIGHGATE SPRINGS/ALBURG (0212),Land,Conveyances,Trucks,8137
2023,Remaining,SEP,Northern Border,SEATTLE,MT,BOZEMAN YELLOWSTONE UFA (3386),Air,Conveyances,Air,15
2022,FYTD,DEC,Northern Border,SEATTLE,ND,"WESTHOPE, ND (3419)",Land,Travelers,Trucks,85
2023,Remaining,SEP,Coastal/Interior,CHICAGO,OH,"TOLEDO, OH (4105)",Air,Travelers,Air,423
2024,Remaining,JUN,Southern Border,TUCSON,AZ,"SAN LUIS, AZ (2608)",Land,Conveyances,Passenger Vehicles,273492
2022,FYTD,OCT,Coastal/Interior,ATLANTA,GA,"ATLANTA, GA (1704)",Air,Conveyances,Air,1911
2022,Remaining,APR,Northern Border,SEATTLE,WA,"DANVILLE, WA (3012)",Land,Travelers,Pedestrians,8
2024,FYTD,OCT,Northern Border,BOSTON,ME,"EASTPORT, ME (0103)",Land,Travelers,Pedestrians,87
2023,FYTD,OCT,Southern Border,EL PASO,TX,YSLETA (2401),Land,Travelers,Passenger Vehicles,521972
2023,Remaining,SEP,Northern Border,SEATTLE,MT,"OPHEIM, MT (3317)",Land,Travelers,Pedestrians,7
