FY,Month Grouping,Month (abbv),Region,Field Office,State,Port of Entry,Mode of Transportation,Measure Name,Category,Count
2024,Remaining,FEB,Northern Border,DETROIT,MI,WILLOW RUN AIRPORT (3882),Air,Conveyances,Air,29
2022,Remaining,FEB,Northern Border,BOSTON,ME,"BANGOR, ME (0102)",Air,Travelers,Air,517
2022,Remaining,FEB,Southern Border,EL PASO,TX,YSLETA (2401),Land,Travelers,Trucks,52882
2022,Remaining,JUL,Northern Border,SEATTLE,WA,"BOUNDARY, WA (3015)",Land,Conveyances,Trucks,6
2023,FYTD,DEC,Coastal/Interior,SAN FRANCISCO,CA,FRESNO YOSEMITE AIRPORT (2882),Air,Travelers,Air,12594
2022,FYTD,DEC,Northern Border,PORTLAND,CO,ARAPAHOE CNTY PUBL AIRPT (3384),Air,Travelers,Air,276
2024,Remaining,MAR,Northern Border,SEATTLE,MN,"PINECREEK, MN (3425)",Land,Conveyances,Passenger Vehicles,166
2023,Remaining,SEP,Coastal/Interior,CHICAGO,KY,BLUE GRASS AIRPORT (4184),Air,Conveyances,Air,27
2024,FYTD,NOV,Coastal/Interior,SAN FRANCISCO,CA,SAN JOSE INTL AIRPORT (2834),Air,Conveyances,Air,254
2023,Remaining,APR,Preclearance,PRECLEARANCE,DC,USCBP EDMONTON PRECLEAR (7924),Air,Travelers,Air,34440
2024,Remaining,JUN,Northern Border,SEATTLE,ND,"AMBROSE, ND (3410)",Land,Travelers,Passenger Vehicles,173
2022,Remaining,JUL,Preclearance,PRECLEARANCE,DC,"USCBP SHANNON IE, PRECLEAR (7542)",Air,Conveyances,Air,142
2023,Remaining,AUG,Southern Border,SAN DIEGO,CA,OTAY MESA (2506),Land,Conveyances,Trucks,94592
2024,Remaining,MAR,Northern Border,SEATTLE,ND,"NOONAN, ND (3420)",Land,Conveyances,Trucks,123
2024,Remaining,FEB,Northern Border,SEATTLE,WA,"BLAINE, WA (3004)",Land,Travelers,Passenger Vehicles,438142
2022,Remaining,FEB,Northern Border,SEATTLE,ND,"ANTLER, ND (3413)",Land,Travelers,Passenger Vehicles,208
2024,Remaining,MAR,Coastal/Interior,CHICAGO,OH,"DAYTON, OH (4104)",Air,Conveyances,Air,19
2022,Remaining,JAN,Coastal/Interior,BALTIMORE,PA,"PHILADELPHIA, PA (1101)",Air,Travelers,Air,9
2024,FYTD,DEC,Coastal/Interior,TAMPA,FL,ST AUGUSTINE ARPT UFA (1889),Air,Travelers,Air,196
2022,FYTD,DEC,Northern Border,SEATTLE,ND,"SHERWOOD, ND (3414)",Land,Conveyances,Trucks,371
2022,FYTD,DEC,Southern Border,EL PASO,TX,"TORNILLO,TX (2404)",Land,Travelers,Passenger Vehicles,63515
2022,Remaining,SEP,Northern Border,SEATTLE,ND,"NORTHGATE, ND (3406)",Land,Conveyances,Passenger Vehicles,531
2023,Remaining,JAN,Northern Border,PORTLAND,AK,"ANCHORAGE, AK (3126)",Air,Travelers,Air,6809
2022,Remaining,JUN,Coastal/Interior,CHICAGO,OH,"TOLEDO, OH (4105)",Air,Conveyances,Air,119
2022,Remaining,MAY,Coastal/Interior,HOUSTON,TX,"HOBBY AIRPORT, TX (5314)",Air,Conveyances,Air,645
2024,Remaining,AUG,Northern Border,SEATTLE,ID,"EASTPORT, ID (3302)",Land,Travelers,Pedestrians,1288
2024,Remaining,MAR,Coastal/Interior,TAMPA,FL,ST AUGUSTINE ARPT UFA (1889),Air,Travelers,Air,426
2022,FYTD,NOV,Northern Border,SEATTLE,ND,"CARBURY, ND (3421)",Land,Travelers,Passenger Vehicles,205
2022,FYTD,DEC,Southern Border,EL PASO,TX,BOQUILLAS (2410),Land,Travelers,Pedestrians,3726
2025 (FYTD),FYTD,NOV,Northern Border,SEATTLE,ND,"DUNSEITH, ND (3422)",Land,Conveyances,Trucks,1695
2025 (FYTD),FYTD,NOV,Northern Border,SEATTLE,ID,"PORTHILL, ID (3308)",Land,Conveyances,Trucks,150
2022,Remaining,JUL,Northern Border,SEATTLE,MT,"DEL BONITA, MT (3322)",Land,Travelers,Pedestrians,29
2023,Remaining,JAN,Coastal/Interior,TAMPA,FL,ST AUGUSTINE ARPT UFA (1889),Air,Travelers,Air,287
2023,Remaining,JUN,Northern Border,BOSTON,ME,"EASTPORT, ME (0103)",Land,Conveyances,Passenger Vehicles,10967
2023,Remaining,JAN,Coastal/Interior,BALTIMORE,PA,"PHILADELPHIA, PA (1101)",Air,Travelers,Air,5
2022,Remaining,MAY,Northern Border,SEATTLE,ID,"EASTPORT, ID (3302)",Land,Travelers,Pedestrians,246
2023,Remaining,FEB,Coastal/Interior,NEW ORLEANS,AR,ROGERS MUNICIPAL AIRPORT (2084),Air,Conveyances,Air,12
2022,Remaining,SEP,Northern Border,SEATTLE,MN,"WARROAD, MN (3423)",Land,Travelers,Trucks,296
2022,FYTD,DEC,Coastal/Interior,SAN FRANCISCO,CA,FRESNO YOSEMITE AIRPORT (2882),Air,Travelers,Air,11450
2024,Remaining,APR,Northern Border,SEATTLE,MT,"RAYMOND, MT (3301)",Land,Travelers,Passenger Vehicles,2947
2022,FYTD,DEC,Northern Border,SEATTLE,WA,"FERRY, WA (3013)",Land,Conveyances,Trucks,1
2023,FYTD,NOV,Northern Border,SEATTLE,ND,"CARBURY, ND (3421)",Land,Travelers,Pedestrians,5
2022,FYTD,NOV,Coastal/Interior,HOUSTON,TX,SUGAR LAND REGIONAL AIRP (5381),Air,Conveyances,Air,63
2024,Remaining,MAY,Coastal/Interior,SAN FRANCISCO,HI,"KAHULUI, HI (3203)",Air,Conveyances,Air,2
2024,Remaining,AUG,Northern Border,SEATTLE,ND,"MAIDA, ND (3416)",Land,Conveyances,Trucks,152
2023,FYTD,OCT,Coastal/Interior,SAN FRANCISCO,NV,"RENO, NV (2833)",Air,Conveyances,Air,23
2022,FYTD,NOV,Northern Border,SEATTLE,WA,METALINE FALLS (3025),Land,Travelers,Passenger Vehicles,729
2022,FYTD,DEC,Northern Border,PORTLAND,CO,JEFFCO USER FEE AIRPORT (3383),Air,Travelers,Air,69
2023,Remaining,APR,Northern Border,BUFFALO,NY,BUFFALO-NIAGARA FALLS NY (0901),Air,Conveyances,Air,91
2024,Remaining,APR,Coastal/Interior,LOS ANGELES,CA,VAN NUYS AIRPORT (2788),Air,Conveyances,Air,119
2022,Remaining,JUL,Coastal/Interior,ATLANTA,GA,"SAVANNAH, GA (1703)",Air,Travelers,Air,287
2023,Remaining,FEB,Northern Border,PORTLAND,AK,"SKAGWAY, AK (3103)",Land,Travelers,Trucks,248
2022,Remaining,JUL,Coastal/Interior,CHICAGO,WI,APPLETON INTL ARPT (3781),Air,Conveyances,Air,24
2022,Remaining,FEB,Preclearance,PRECLEARANCE,DC,USCBP WINNEPEG PRECLEAR (7928),Air,Conveyances,Air,68
2022,FYTD,OCT,Coastal/Interior,CHICAGO,IL,WAUKEGAN AIRPORT (3981),Air,Conveyances,Air,8
2024,Remaining,JAN,Coastal/Interior,ATLANTA,GA,"SAVANNAH, GA (1703)",Air,Conveyances,Air,93
2023,Remaining,JUL,Northern Border,SEATTLE,WA,METALINE FALLS (3025),Land,Travelers,Passenger Vehicles,6452
2023,Remaining,JAN,Northern Border,SEATTLE,MT,"PIEGAN, MT (3316)",Land,Conveyances,Trucks,88
2022,Remaining,JAN,Coastal/Interior,LOS ANGELES,CA,SAN BERNARDINO U.F. ARPT (2782),Air,Travelers,Air,80
2025 (FYTD),FYTD,NOV,Northern Border,SEATTLE,ND,HECTOR INTERNATIONAL AIRPORT (3411),Air,Travelers,Air,220
2023,Remaining,APR,Coastal/Interior,HOUSTON,TX,MIDLAND INTER AIRPORT (5582),Air,Travelers,Air,147
2023,Remaining,AUG,Northern Border,SEATTLE,MT,"OPHEIM, MT (3317)",Land,Conveyances,Trucks,3
2024,Remaining,SEP,Southern Border,EL PASO,TX,"EL PASO, TX (2402)",Land,Travelers,Passenger Vehicles,1092942
2023,FYTD,NOV,Northern Border,SEATTLE,WA,METALINE FALLS (3025),Land,Travelers,Pedestrians,357
2022,FYTD,DEC,Northern Border,BUFFALO,NY,CHAMPLAIN-ROUSES POINT (0712),Land,Travelers,Pedestrians,6182
2023,Remaining,JUL,Northern Border,SEATTLE,ND,"CARBURY, ND (3421)",Land,Travelers,Passenger Vehicles,1988
2024,Remaining,AUG,Coastal/Interior,HOUSTON,TX,"HOBBY AIRPORT, TX (5314)",Air,Conveyances,Air,514
2023,FYTD,OCT,Northern Border,SEATTLE,MT,"DEL BONITA, MT (3322)",Air,Conveyances,Air,8
2024,FYTD,OCT,Southern Border,LAREDO,TX,"PROGRESO, TX (2309)",Land,Conveyances,Trucks,4957
2023,FYTD,NOV,Coastal/Interior,CHICAGO,OH,"CLEVELAND, OH (4101)",Air,Travelers,Air,3835
2023,Remaining,SEP,Northern Border,SEATTLE,ND,"MAIDA, ND (3416)",Land,Travelers,Passenger Vehicles,744
2022,Remaining,APR,Coastal/Interior,TAMPA,FL,"TAMPA, FL (1801)",Air,Travelers,Air,25841
2022,Remaining,SEP,Northern Border,SEATTLE,ND,"MAIDA, ND (3416)",Land,Travelers,Pedestrians,1
2022,Remaining,SEP,Coastal/Interior,CHICAGO,KY,BLUE GRASS AIRPORT (4184),Air,Conveyances,Air,19
2025 (FYTD),FYTD,NOV,Coastal/Interior,SAN FRANCISCO,CA,SAN JOSE INTL AIRPORT (2834),Air,Conveyances,Air,242
2022,Remaining,FEB,Coastal/Interior,NEW ORLEANS,TN,"NASHVILLE, TN (2007)",Air,Conveyances,Air,52
2023,FYTD,OCT,Coastal/Interior,NEW ORLEANS,AR,ROGERS MUNICIPAL AIRPORT (2084),Air,Travelers,Air,86
2022,Remaining,APR,Southern Border,LAREDO,TX,"DEL RIO, TX (2302)",Land,Travelers,Passenger Vehicles,216159
